The underlying securities code,The underlying securities referred to,Today financing balance (yuan),Today financing the purchase amount (yuan),Today financing repayments (yuan),Today's trading margin,Today the amount of short selling,Today margin to repay the amount,date,name,Closing price,Highest Price,Lowest,Opening price,Before closing,Change Amount,Quote change,Turnover,Volume,Turnover,The total market capitalization,Market capitalization
600111,Baotou Steel Rare Earth,1916463768,145049370,114017631,691600,956903,1028503,2012-09-12,Baotou Steel Rare Earth,35.81,36.17,35.3,35.58,35.17,0.64,1.8197,2.7117,40118038,1436917517,86733395640,52979815472
600111,Baotou Steel Rare Earth,1929003133,98045347,85505982,686760,860731,865571,2012-09-13,Baotou Steel Rare Earth,34.72,36.15,34.58,36.05,35.81,-1.09,-3.0438,1.9661,29088467,1032151617,84093367680,51367193331
600111,Baotou Steel Rare Earth,1867714594,125536888,186825427,806900,1312848,1192708,2012-09-14,Baotou Steel Rare Earth,35.49,36.45,35.2,35.86,34.72,0.77,2.2177,3.276,48466856,1733270350,85958341560,52506385119
600111,Baotou Steel Rare Earth,1827861750,91969091,131821935,853552,1004123,957471,2012-09-17,Baotou Steel Rare Earth,34.5,35.87,34.48,35.4,35.49,-0.99,-2.7895,2.3492,34756068,1219872892,83560518000,51041709963
600111,Baotou Steel Rare Earth,1810381124,80135222,97615848,902682,1186715,1137585,2012-09-18,Baotou Steel Rare Earth,33.23,34.1,33.07,34.02,34.5,-1.27,-3.6812,2.129,31497752,1052087540,80484522120,49162783248
600111,Baotou Steel Rare Earth,1818006128,87268949,79643945,978496,986479,910665,2012-09-19,Baotou Steel Rare Earth,33.73,33.9,33.14,33.25,33.23,0.5,1.5047,1.7224,25482376,854605713,81695544120,49902518175
600111,Baotou Steel Rare Earth,1779576009,67445790,105875909,1121040,1152459,1009915,2012-09-20,Baotou Steel Rare Earth,32.19,33.59,32.01,33.59,33.73,-1.54,-4.5657,2.4808,36703168,1199071584,77965596360,47624134600
600111,Baotou Steel Rare Earth,1766095379,47030299,60510929,1076408,1036772,1081404,2012-09-21,Baotou Steel Rare Earth,32.68,33.25,32.01,32.19,32.19,0.49,1.5222,1.9718,29171677,954824759,79152397920,48349074829
600111,Baotou Steel Rare Earth,1796230083,88837636,58702932,1098949,1054396,1031855,2012-09-24,Baotou Steel Rare Earth,32.95,33.2,31.62,32.1,32.68,0.27,0.8262,1.8217,26952138,875307843,79806349800,48748531689
600111,Baotou Steel Rare Earth,1807609898,48597398,37217583,1118177,590976,571748,2012-09-25,Baotou Steel Rare Earth,32.4,33.11,32.21,32.73,32.95,-0.55,-1.6692,1.1361,16808783,548751375,78474225600,47934823270
600111,Baotou Steel Rare Earth,1800269405,30924247,38264740,1077037,918863,960003,2012-09-26,Baotou Steel Rare Earth,32.06,32.68,31.9,32.39,32.4,-0.34,-1.0494,1.1829,17501287,564346761,77650730640,47431803519
600111,Baotou Steel Rare Earth,1772096010,87431724,115605119,993202,798113,881948,2012-09-27,Baotou Steel Rare Earth,32.95,33.18,31.7,31.98,32.06,0.89,2.776,2.4114,35675812,1163240141,79806349800,48748531689
600111,Baotou Steel Rare Earth,1717396138,96622224,151322096,939220,970790,1024772,2012-09-28,Baotou Steel Rare Earth,34,34.35,32.8,33.03,32.95,1.05,3.1866,3.0421,45006674,1514752759,82349496000,50301975036
600111,Baotou Steel Rare Earth,1773515945,114563921,58444114,1084937,1097762,952045,2012-10-08,Baotou Steel Rare Earth,33.18,34.24,32.96,34,34,-0.82,-2.4118,2.1834,32302622,1078990602,80363419920,49088809756
600111,Baotou Steel Rare Earth,1789341599,85259992,69434338,926981,696030,853986,2012-10-09,Baotou Steel Rare Earth,34.01,34.38,33.1,33.25,33.18,0.83,2.5015,2.2671,33540496,1137272561,82373716440,50316769735
600111,Baotou Steel Rare Earth,1816909738,93493539,65925400,994437,606216,538760,2012-10-10,Baotou Steel Rare Earth,33.85,33.96,33.35,33.95,34.01,-0.16,-0.4704,1.7696,26180588,881874162,81986189400,50080054558
600111,Baotou Steel Rare Earth,1821506307,98066888,93470319,991837,845662,848262,2012-10-11,Baotou Steel Rare Earth,33.74,34.5,33.42,33.68,33.85,-0.11,-0.325,2.1139,31274991,1063247741,81719764560,49917312874
600111,Baotou Steel Rare Earth,1818446206,82950342,86010443,1007016,562044,546865,2012-10-12,Baotou Steel Rare Earth,33.51,34.25,33.2,33.74,33.74,-0.23,-0.6817,1.4245,21075721,709180815,81162694440,49577034808
600111,Baotou Steel Rare Earth,1812128920,80768553,87085839,1176821,1014620,844815,2012-10-15,Baotou Steel Rare Earth,32.73,33.47,32.4,33.4,33.51,-0.78,-2.3277,1.7602,26041893,851115321,79273500120,48423048321
600111,Baotou Steel Rare Earth,1789515458,31574213,54187675,1214208,498624,461237,2012-10-16,Baotou Steel Rare Earth,32.68,33.15,32.55,32.75,32.73,-0.05,-0.1528,1.0927,16165642,530864958,79152397920,48349074829
600111,Baotou Steel Rare Earth,1810473310,62891184,41933332,1194008,694118,714318,2012-10-17,Baotou Steel Rare Earth,33.52,33.8,32.55,32.85,32.68,0.84,2.5704,1.642,24292795,804580344,81186914880,49591829506
600111,Baotou Steel Rare Earth,1850278357,118144630,78339583,1198687,418806,414127,2012-10-18,Baotou Steel Rare Earth,33.73,33.95,33.27,33.5,33.52,0.21,0.6265,2.044,30240818,1017032206,81695544120,49902518175
600111,Baotou Steel Rare Earth,1834603998,47629839,63304198,1207281,219173,210579,2012-10-19,Baotou Steel Rare Earth,33.45,33.81,33.26,33.68,33.73,-0.28,-0.8301,1.376,20357952,681580394,81017371800,49488266616
600111,Baotou Steel Rare Earth,1859686828,120803715,95720885,1280481,1126274,1053074,2012-10-22,Baotou Steel Rare Earth,32.46,32.86,31.52,32.2,33.45,-0.99,-2.9596,2.6791,39636018,1276889491,78619548240,48023591461
600111,Baotou Steel Rare Earth,1865055064,66110089,60741853,1383861,735657,632277,2012-10-23,Baotou Steel Rare Earth,32.42,32.65,32,32.4,32.46,-0.04,-0.1232,1.4739,21805826,705609810,78522666480,47964412667
600111,Baotou Steel Rare Earth,1872100376,116413032,109367720,1321816,927397,989442,2012-10-24,Baotou Steel Rare Earth,31.46,32.2,31.35,31.9,32.42,-0.96,-2.9611,2.4448,36170035,1148427012,76197504240,46544121607
600111,Baotou Steel Rare Earth,1852292703,92903249,112710922,1307896,955067,968987,2012-10-25,Baotou Steel Rare Earth,31.09,31.69,31,31.4,31.46,-0.37,-1.1761,1.9673,29105413,908716914,75301347960,45996717761
600111,Baotou Steel Rare Earth,1784578725,70593579,138307557,1180561,1236655,1363990,2012-10-26,Baotou Steel Rare Earth,28.92,31.25,28.3,31.09,31.09,-2.17,-6.9797,3.2279,47755788,1405377956,70045512480,42786268178
600111,Baotou Steel Rare Earth,1757621863,95483248,122440110,1258366,1447469,1369664,2012-10-29,Baotou Steel Rare Earth,27.35,28.78,27.14,28.5,28.92,-1.57,-5.4288,3.1816,47071483,1304381041,66242903400,40463500507
